ville - village,provinces,communes
boussoum,,
boussouma,,
boussouma,,
boussouma,,
boussouma,,
boussouma-peulh,,
boussoura,,
boussoure,,
boutaya,,
boutiourou,,
boutoko,,
boutonou,,
boutontou,,
boutouanou,,
bouya,,
bouyague,,
bouyoua,,
bouzourou,,
bow,,
bozo,,
bozogo,,
brambera,,
brebie,,
bredie,,
brimonga,,
bro-silapoa,,
burkinao,,
carimama,,
carrefour,,
cassou,,
cella,,
cella,,
charam-charam,,
chokoro,,
cinkanse,,
cissa,,
cisse,,
cisse,,
cisse-yarce,,
cissegue,,
cissin,,
coalla,,
coewinga,,
combemgogo,,
comboari,,
comin-yanga,,
comonli,,
complan,,
cora-lo,,
coumpougoubie,,
da,,
da,,
da,,
dabare,,
dabare,,
dabega,,
dabere,,
dabesma,,
dabesma,,
dabilgou,,
dabla,,
dablara,,
dablo,,
daboadin,,
daboala,,
dabodin,,
dabogo,,
dabogtinga,,
dabokiri,,
dabokry,,
dabole,,
dabori-pari,,
dabossomnore,,
daboui,,
daboulga,,
daboura,,
daboura,,
daboura,,
dabozir,,
dacisse,,
dacisse,,
dadjou,,
dadone,,
dadoune,,
dadounga,,
daffole,,
dafina,,
dafinso,,
dafire,,
daga,,
dagale,,
dagamtenga,,
dagamtenga,,
dagban,,
dagbilin,,
dagho,,
dagninikorosso,,
dagnoro,,
dagomkom,,
dagou,,
dagouma,,
daguilma,,
daguintoega,,
dahangou,,
dahisma,,
daho,,
dahore,,
dain-maissara,,
daka,,
dakaongo,,
dakayes,,
dake,,
dakena,,
dakiecma,,
dakiegre,,
dakira,,
dakiri,,
dakiskiema,,
dakola,,
dakola,,
dakole,,
dakoni,,
dakonsin,,
dakonsin,,
dakore,,
dakoro,,
dakoula,,
dakouli,,
dakoura,,
dakouteon,,
dakpolo-folapouo,,
dakpolo-gompar,,
dakuy,,
dalamba,,
dalamiera,,
dalampouo,,
dalampour,,
dalangbara,,
dalgane,,
dalinga,,
dalla,,
dallera-helmira,,
dalo,,
dalo,,
daltenga,,
daman,,
damana,,
damanadiao,,
damandigui,,
damane,,
damba,,
dambam,,
dambam,,
dambatao,,
dambini,,
dambougare,,
dambouguel,,
damdegou,,
damgagui,,
damigoghin,,
damiougou,,
damkarko,,
damkieta,,
damongto,,
dampan,,
dampela,,
damsi,,
damzoussi,,
damzoussi,,
dan,,
dan,,
dana,,
dana,,
dana,,
danagnara,,
danamiara,,
danaogo,,
danaoua,,
danaoua,,
danbiti,,
danbiti,,
dandambara,,
dande,,
dandio,,
dandougou,,
dandougou,,
danekuy,,
danfi-dagara,,
danfi-nuni,,
danfina,,
dangade,,
dangbal,,
dangbara,,
dango,,
dangouindougou,,
dangoumani,,
dangouna,,
dangue,,
danhal,,
danhal-kpangara,,
danhal-pera,,
dani,,
danie,,
daniema,,
dankana,,
dankana-ipala,,
dankana-nabagone,,
dankanao,,
dankari,,
danko-tanzou,,
dankoble,,
dankoumana,,
